INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb.cpp in debug mode
   Compiling ../../../cordic.cpp in debug mode
   Generating csim.exe
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=231584178474632390847141970017375815706539969331281128078915168015826259279872.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=11, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=12, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=13, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=14, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=0, COS=0.000000, SIN=0.000000, Theta=3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000 
Stage=1, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=2, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=3, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=4, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=5, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=6, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=7, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=8, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=9, COS=0.000000, SIN=0.000000, Theta=0.000000 
Stage=10, COS=0.000000, SIN=0.000000, Theta=0.000000 
